x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0.0,324504.7098141904,302227.91676200775,6.140875021322551e6,533985.5925207855,264698.6649888917,396062.5642393855,93267.596351287,88247.86082992732,98150.90985045362,306969.9600719187,99336.37270611625,61191.55026389132,116950.99741455913,73221.09951606973,72099.35867288176,84093.80418722985,603355.9150326919,548009.33311894,330552.55135921226,438331.39306901547,486513.4886141134,525166.7365126959,469410.6862834187,347192.619039348
324504.7098141904,0.0,77959.86784624036,642413.7820050123,402873.6984329341,98422.81774634967,646638.481124116,245288.95601549093,263815.8725016669,285906.54098667327,570699.8744424718,238860.6834385371,311499.30403661117,222068.04737462904,281662.546724259,291178.8354754838,258500.39611657814,376424.6512610959,467662.0523959383,6951.839979624738,671539.114073011,704450.6627818621,631843.5437683901,672744.9324668869,27723.41051513844
302227.91676200775,77959.86784624036,0.0,667080.8196474259,467949.1634315246,142626.6560313759,625140.1588256457,217777.04325315097,232778.08477254302,249247.43586176226,556180.3684378044,219210.0567117707,291581.65569785866,207356.97327901813,261985.39963058347,274086.69760783506,231948.50579719187,431335.29655227874,527360.0284902748,82344.69296511901,662218.7694971086,692274.428957736,581998.6920563431,676030.5975926544,100056.33456706101
6.140875021322551e6,642413.7820050123,667080.8196474259,0.0,466135.8253421387,672097.6093628734,742922.5529256151,6.066877285681817e6,6.116119708683493e6,6.169582128432563e6,6.158481230542682e6,6.033842612756757e6,6.182919482991923e6,741320.8933940527,6.127310587706414e6,6.135231108025621e6,6.096658494850729e6,2.9117053869756344e6,468492.549397186,638351.7859582496,711208.2893122903,690879.456829981,676600.5101873772,676838.4529118794,626242.846729232
533985.5925207855,402873.6984329341,467949.1634315246,466135.8253421387,0.0,377703.4943603796,682484.7849071333,513263.46985984955,528038.4652126059,549781.0894423026,615393.4085834274,495303.6490362457,522178.77925581316,480188.1159463904,510437.0935871217,507654.86153169506,516653.83448839723,231779.14752051467,91582.98718216925,399478.17766370205,641644.2709983641,671816.5608481359,6.331715755849422e6,580514.4257221824,386114.64872109867
264698.6649888917,98422.81774634967,142626.6560313759,672097.6093628734,377703.4943603796,0.0,602243.4676108755,192956.79323784215,213930.4493038679,241405.76384971107,510817.6646972144,178121.5643848462,246370.1000452231,157872.22899922403,217526.25821057314,223916.3407797125,203706.36195000925,409421.46846709965,431465.3864982838,102458.36380237606,621018.1731324805,662223.8710645725,646223.1573441469,616650.2824156852,112379.01558735843
396062.5642393855,646638.481124116,625140.1588256457,742922.5529256151,682484.7849071333,602243.4676108755,0.0,473600.86452974426,458423.7963670752,441319.27284543857,138759.3439175493,478863.7845499407,415518.48230372777,493328.7516904717,442335.1003324444,434682.0153919482,462181.8105877607,6.19497443409696e6,648133.775566534,650541.46018304,109409.79940078224,127532.45516854695,389723.22846066847,214175.302791887,661110.545210906
93267.596351287,245288.95601549093,217777.04325315097,6.066877285681817e6,513263.46985984955,192956.79323784215,473600.86452974426,0.0,21752.764653508475,51435.42094055384,379874.94527910196,24663.654952069395,78946.23112829345,42463.81113990583,49806.40230227048,64376.25440530529,14784.407601493358,561930.323670711,541713.3823965607,251821.80144018892,517411.61853172624,561620.1948661576,539884.511023026,541443.2172034876,270258.9932836356
88247.86082992732,263815.8725016669,232778.08477254302,6.116119708683493e6,528038.4652126059,213930.4493038679,458423.7963670752,21752.764653508475,0.0,30155.704708106306,366126.334675165,42894.47993365359,69364.7587339409,62843.546959627085,46669.56423344451,61052.188248851504,15859.622415901236,576916.1420550393,554112.2033293277,270324.41084220575,505518.8246950102,549382.6382137762,525831.2296191389,533305.2024507066,288837.0249035355
98150.90985045362,285906.54098667327,249247.43586176226,6.169582128432563e6,549781.0894423026,241405.76384971107,441319.27284543857,51435.42094055384,30155.704708106306,0.0,353345.8021365285,72769.31198121751,73942.01576183758,92854.17550183009,63561.78382002418,75216.32343744667,44800.955946563816,595642.4298403624,573661.9057212475,292374.1317610995,493848.1156740018,536234.9042353113,503638.1214151,527489.3477715252,311056.1786798244
306969.9600719187,570699.8744424718,556180.3684378044,6.158481230542682e6,615393.4085834274,510817.6646972144,138759.3439175493,379874.94527910196,366126.334675165,353345.8021365285,0.0,380900.4422544974,310865.19737154857,394687.37987286155,340211.44006595155,329807.90510194696,366857.1565602151,725640.6585140352,584744.5594356161,575138.8222447151,166460.786829577,227888.16405313768,470326.81975189556,221494.14177515754,586638.7142042561
99336.37270611625,238860.6834385371,219210.0567117707,6.033842612756757e6,495303.6490362457,178121.5643848462,478863.7845499407,24663.654952069395,42894.47993365359,72769.31198121751,380900.4422544974,0.0,77859.80441575474,21125.684018689815,45697.591480517905,57760.17576472729,28364.904425509892,551118.9139425723,523592.05851712613,245282.72499888396,517821.92049177573,563800.7320067314,556914.5640548832,537049.2050071585,263004.1720992314
61191.55026389132,311499.30403661117,291581.65569785866,6.182919482991923e6,522178.77925581316,246370.1000452231,415518.48230372777,78946.23112829345,69364.7587339409,73942.01576183758,310865.19737154857,77859.80441575474,0.0,94974.66913040425,32270.559892910238,23629.78522650712,64479.53952811614,596705.5716159818,537614.3836628051,317632.7231477507,456633.3016523298,506400.1708931712,535509.3245955119,481190.1737321561,334338.0060784466
116950.99741455913,222068.04737462904,207356.97327901813,741320.8933940527,480188.1159463904,157872.22899922403,493328.7516904717,42463.81113990583,62843.546959627085,92854.17550183009,394687.37987286155,21125.684018689815,94974.66913040425,0.0,63197.115958865295,73042.03947247427,49177.07847982183,535920.6112305383,510826.84235029627,228441.25998255395,529155.7037465231,575229.8726716256,569991.2140551715,544794.1671321039,245843.07456126242
73221.09951606973,281662.546724259,261985.39963058347,6.127310587706414e6,510437.0935871217,217526.25821057314,442335.1003324444,49806.40230227048,46669.56423344451,63561.78382002418,340211.44006595155,45697.591480517905,32270.559892910238,63197.115958865295,0.0,14807.027619772925,36571.36212651758,578066.308684871,531142.8042064826,287915.21410991304,482461.66962759517,530787.8192915976,544938.2747403936,504578.07577098935,305018.0083333408
72099.35867288176,291178.8354754838,274086.69760783506,6.135231108025621e6,507654.86153169506,223916.3407797125,434682.0153919482,64376.25440530529,61052.188248851504,75216.32343744667,329807.90510194696,57760.17576472729,23629.78522650712,73042.03947247427,14807.027619772925,0.0,51350.3288553999,580994.9244592253,526124.3579195566,297326.5323680039,472965.1312066587,522592.65621194296,548410.0488160858,493822.7147572936,313968.40901484573
84093.80418722985,258500.39611657814,231948.50579719187,6.096658494850729e6,516653.83448839723,203706.36195000925,462181.8105877607,14784.407601493358,15859.622415901236,44800.955946563816,366857.1565602151,28364.904425509892,64479.53952811614,49177.07847982183,36571.36212651758,51350.3288553999,0.0,569864.3505528764,542710.8886451323,264973.63848798006,506140.1913527908,551229.5008804835,537203.9188485141,530816.7399827357,283145.54779740615
603355.9150326919,376424.6512610959,431335.29655227874,361051.46798497863,231779.14752051467,409421.46846709965,6.19497443409696e6,561930.323670711,576916.1420550393,595642.4298403624,725640.6585140352,551118.9139425723,596705.5716159818,535920.6112305383,578066.308684871,580994.9244592253,569864.3505528764,0.0,303637.7193400651,370526.23740505555,6.039256706490457e6,6.15226155174028e6,6.061018859445804e6,710425.7318085256,351928.30820270063
548009.33311894,467662.0523959383,527360.0284902748,468492.549397186,91582.98718216925,431465.3864982838,648133.775566534,541713.3823965607,554112.2033293277,573661.9057212475,584744.5594356161,523592.05851712613,537614.3836628051,510826.84235029627,531142.8042064826,526124.3579195566,542710.8886451323,303637.7193400651,0.0,465123.34777007834,594676.6716784687,624907.0218644381,6.341142008738493e6,522592.04083140375,454172.1577939755
330552.55135921226,6951.839979624738,82344.69296511901,638351.7859582496,399478.17766370205,102458.36380237606,650541.46018304,251821.80144018892,270324.41084220575,292374.1317610995,575138.8222447151,245282.72499888396,317632.7231477507,228441.25998255395,287915.21410991304,297326.5323680039,264973.63848798006,370526.23740505555,465123.34777007834,0.0,674785.527941433,707366.2237358931,634464.0384336519,675317.1222322285,20923.023414790594
438331.39306901547,671539.114073011,662218.7694971086,711208.2893122903,641644.2709983641,621018.1731324805,109409.79940078224,517411.61853172624,505518.8246950102,493848.1156740018,166460.786829577,517821.92049177573,456633.3016523298,529155.7037465231,482461.66962759517,472965.1312066587,506140.1913527908,6.039256706490457e6,594676.6716784687,674785.527941433,0.0,74128.14613664475,467339.09781112254,108915.44615362106,682819.0551391724
486513.4886141134,704450.6627818621,692274.428957736,690879.456829981,671816.5608481359,662223.8710645725,127532.45516854695,561620.1948661576,549382.6382137762,536234.9042353113,227888.16405313768,563800.7320067314,506400.1708931712,575229.8726716256,530787.8192915976,522592.65621194296,551229.5008804835,6.15226155174028e6,624907.0218644381,707366.2237358931,74128.14613664475,0.0,434436.81953404716,149776.53961371345,714756.791601052
525166.7365126959,631843.5437683901,581998.6920563431,5.456455727317558e6,6.331715755849422e6,646223.1573441469,389723.22846066847,539884.511023026,525831.2296191389,503638.1214151,470326.81975189556,556914.5640548832,535509.3245955119,569991.2140551715,544938.2747403936,548410.0488160858,537203.9188485141,6.061018859445804e6,6.341142008738493e6,634464.0384336519,467339.09781112254,434436.81953404716,0.0,548123.8303364113,644193.1124916982
469410.6862834187,672744.9324668869,676030.5975926544,676838.4529118794,580514.4257221824,616650.2824156852,214175.302791887,541443.2172034876,533305.2024507066,527489.3477715252,221494.14177515754,537049.2050071585,481190.1737321561,544794.1671321039,504578.07577098935,493822.7147572936,530816.7399827357,710425.7318085256,522592.04083140375,675317.1222322285,108915.44615362106,149776.53961371345,548123.8303364113,0.0,680774.0419848481
347192.619039348,27723.41051513844,100056.33456706101,626242.846729232,386114.64872109867,112379.01558735843,661110.545210906,270258.9932836356,288837.0249035355,311056.1786798244,586638.7142042561,263004.1720992314,334338.0060784466,245843.07456126242,305018.0083333408,313968.40901484573,283145.54779740615,351928.30820270063,454172.1577939755,20923.023414790594,682819.0551391724,714756.791601052,644193.1124916982,680774.0419848481,0.0
